Date,Open,High,Low,Close,Volume
19.01.2009 07:00:00.000 GMT+0900,1.97066,1.9965,1.94145,1.9835,1190727.5952
26.01.2009 07:00:00.000 GMT+0900,1.97544,2.01905,1.96105,2.01192,970677.103800001
02.02.2009 07:00:00.000 GMT+0900,2.00528,2.0391,1.9013,1.91455,975441.6013
09.02.2009 07:00:00.000 GMT+0900,1.92333,1.9887,1.9061,1.95705,1070950.1017
16.02.2009 07:00:00.000 GMT+0900,1.96112,1.99905,1.95015,1.9866,957755.1253
23.02.2009 07:00:00.000 GMT+0900,1.98505,1.99425,1.9488,1.9828,1007080.1403
02.03.2009 07:00:00.000 GMT+0900,1.9744,1.999,1.93635,1.9739,1066617.9024
09.03.2009 06:00:00.000 GMT+0900,1.97596,2.0028,1.9551,1.96325,1195894.5182
16.03.2009 06:00:00.000 GMT+0900,1.96705,2.0049,1.9597,1.97615,1169784.7413
23.03.2009 06:00:00.000 GMT+0900,1.97435,1.97625,1.9125,1.9129,1019260.4087
30.03.2009 06:00:00.000 GMT+0900,1.91575,1.9463,1.8649,1.88465,926988.3009
06.04.2009 06:00:00.000 GMT+0900,1.88598,1.8989,1.8204,1.8313,774092.5997
13.04.2009 06:00:00.000 GMT+0900,1.81141,1.85,1.803,1.8046,883679.713500001
20.04.2009 06:00:00.000 GMT+0900,1.80163,1.85835,1.7996,1.8302,1002015.3048
27.04.2009 06:00:00.000 GMT+0900,1.83389,1.865,1.7983,1.8151,1188900.9982
04.05.2009 06:00:00.000 GMT+0900,1.81237,1.81544,1.74865,1.7729,1266199.5475
11.05.2009 06:00:00.000 GMT+0900,1.77424,1.81445,1.7674,1.8009,1201309.704
18.05.2009 06:00:00.000 GMT+0900,1.79967,1.80305,1.7539,1.7878,1249079.7053
25.05.2009 06:00:00.000 GMT+0900,1.79451,1.8003,1.76305,1.76685,1093709.8017
01.06.2009 06:00:00.000 GMT+0900,1.75829,1.7848,1.7292,1.7598,1248163.8009
08.06.2009 06:00:00.000 GMT+0900,1.7558,1.77,1.7147,1.72425,1217694.4924
15.06.2009 06:00:00.000 GMT+0900,1.72924,1.76323,1.72284,1.7295,440314.7004
22.06.2009 06:00:00.000 GMT+0900,1.73067,1.78335,1.72883,1.7396,1208224.2955
29.06.2009 06:00:00.000 GMT+0900,1.74119,1.7661,1.7315,1.7531,918438.2
06.07.2009 06:00:00.000 GMT+0900,1.7556,1.79725,1.74605,1.78885,1608948.8031
13.07.2009 06:00:00.000 GMT+0900,1.79031,1.8102,1.7523,1.7575,1505250.9975
20.07.2009 06:00:00.000 GMT+0900,1.7599,1.7608,1.7344,1.7381,1262001.9049
27.07.2009 06:00:00.000 GMT+0900,1.73617,1.7409,1.69845,1.70425,1415143.6027
03.08.2009 06:00:00.000 GMT+0900,1.70658,1.7202,1.69115,1.69375,1146061.3477
10.08.2009 06:00:00.000 GMT+0900,1.69938,1.72485,1.68505,1.70565,607151.0288
17.08.2009 06:00:00.000 GMT+0900,1.71145,1.72925,1.7044,1.7156,532234.5493
24.08.2009 06:00:00.000 GMT+0900,1.71296,1.7262,1.69655,1.70025,628798.2021
31.08.2009 06:00:00.000 GMT+0900,1.69968,1.7229,1.6779,1.6799,637135.4499
07.09.2009 06:00:00.000 GMT+0900,1.67894,1.7006,1.6716,1.68775,609781.4608
14.09.2009 06:00:00.000 GMT+0900,1.69263,1.70345,1.68035,1.6952,738915.5026
21.09.2009 06:00:00.000 GMT+0900,1.69593,1.70445,1.68525,1.6922,899431.8392
28.09.2009 06:00:00.000 GMT+0900,1.69258,1.70015,1.65105,1.6837,984025.0594
05.10.2009 06:00:00.000 GMT+0900,1.68467,1.68665,1.62565,1.62945,944253.5708
12.10.2009 06:00:00.000 GMT+0900,1.62752,1.63945,1.6135,1.62555,905726.7989
19.10.2009 06:00:00.000 GMT+0900,1.6277,1.6301,1.6079,1.6266,964420.7231
26.10.2009 06:00:00.000 GMT+0900,1.62836,1.64215,1.60945,1.63675,925094.6084
02.11.2009 07:00:00.000 GMT+0900,1.641,1.6504,1.61433,1.61509,906817.6624
09.11.2009 07:00:00.000 GMT+0900,1.6126,1.61775,1.59559,1.5967,724979.2188
16.11.2009 07:00:00.000 GMT+0900,1.59765,1.6355,1.59475,1.62435,639743.8614
23.11.2009 07:00:00.000 GMT+0900,1.62365,1.6627,1.6158,1.65345,633621.4213
30.11.2009 07:00:00.000 GMT+0900,1.64485,1.6499,1.61685,1.62423,695431.6999
07.12.2009 07:00:00.000 GMT+0900,1.62675,1.63045,1.60035,1.6015,749838.0554
14.12.2009 07:00:00.000 GMT+0900,1.6032,1.62445,1.5968,1.61097,684611.0999
21.12.2009 07:00:00.000 GMT+0900,1.6053,1.63342,1.6053,1.6276,485120.7018
28.12.2009 07:00:00.000 GMT+0900,1.62515,1.6269,1.5913,1.5964,382061.9005
04.01.2010 07:00:00.000 GMT+0900,1.59092,1.59585,1.55605,1.55785,653447.2028
11.01.2010 07:00:00.000 GMT+0900,1.55265,1.57945,1.5518,1.55845,690561.3603
18.01.2010 07:00:00.000 GMT+0900,1.5589,1.5707,1.5417,1.56945,718355.2031
25.01.2010 07:00:00.000 GMT+0900,1.56685,1.57475,1.54975,1.56825,868571.9971
01.02.2010 07:00:00.000 GMT+0900,1.5749,1.5952,1.559,1.57465,841498.4398
08.02.2010 07:00:00.000 GMT+0900,1.57415,1.5836,1.52715,1.5351,899640.3915
15.02.2010 07:00:00.000 GMT+0900,1.5336,1.5363,1.50585,1.5143,761727.3091
22.02.2010 07:00:00.000 GMT+0900,1.51245,1.53255,1.50425,1.52205,734243.1723
01.03.2010 07:00:00.000 GMT+0900,1.5198,1.52045,1.4945,1.5005,647030.7204
08.03.2010 07:00:00.000 GMT+0900,1.50075,1.50465,1.4807,1.50375,707568.6028
15.03.2010 06:00:00.000 GMT+0900,1.49997,1.5056,1.47175,1.4775,685684.231
22.03.2010 06:00:00.000 GMT+0900,1.47795,1.48715,1.46005,1.48265,708217.5913
29.03.2010 06:00:00.000 GMT+0900,1.48765,1.4911,1.458,1.46855,658205.2406
05.04.2010 06:00:00.000 GMT+0900,1.46621,1.46925,1.4348,1.44625,738522.1314
12.04.2010 06:00:00.000 GMT+0900,1.455,1.4719,1.44985,1.46035,859959.3301
19.04.2010 06:00:00.000 GMT+0900,1.46175,1.46885,1.42805,1.44215,941174.5813
26.04.2010 06:00:00.000 GMT+0900,1.4411,1.44825,1.422,1.43785,956748.5138
03.05.2010 06:00:00.000 GMT+0900,1.4459,1.44625,1.4056,1.4351,1086755.1672
10.05.2010 06:00:00.000 GMT+0900,1.43292,1.44365,1.39285,1.3955,1261394.0022
17.05.2010 06:00:00.000 GMT+0900,1.39405,1.5459,1.3937,1.50895,1226361.916
24.05.2010 06:00:00.000 GMT+0900,1.50615,1.5255,1.44355,1.4479,1272496.2893
31.05.2010 06:00:00.000 GMT+0900,1.45046,1.4735,1.4347,1.45285,1064901.8069
07.06.2010 06:00:00.000 GMT+0900,1.45383,1.4738,1.4208,1.424,1181602.1507
14.06.2010 06:00:00.000 GMT+0900,1.4212,1.43655,1.4152,1.4202,897734.7903
21.06.2010 06:00:00.000 GMT+0900,1.41133,1.432,1.39625,1.4147,844133.9611
28.06.2010 06:00:00.000 GMT+0900,1.4159,1.4944,1.4057,1.4925,878251.7721
05.07.2010 06:00:00.000 GMT+0900,1.49127,1.50145,1.4386,1.4397,728334.1819
12.07.2010 06:00:00.000 GMT+0900,1.43928,1.48985,1.43305,1.48765,738826.3597
19.07.2010 06:00:00.000 GMT+0900,1.48937,1.49715,1.43325,1.44135,606336.8019
26.07.2010 06:00:00.000 GMT+0900,1.43887,1.46,1.4339,1.44288,758307.973700001
02.08.2010 06:00:00.000 GMT+0900,1.44194,1.4544,1.4305,1.44575,748262.5032
09.08.2010 06:00:00.000 GMT+0900,1.44569,1.4485,1.42165,1.42795,888463.1409
16.08.2010 06:00:00.000 GMT+0900,1.42827,1.44135,1.41825,1.4215,780707.780900001
23.08.2010 06:00:00.000 GMT+0900,1.43363,1.4442,1.41415,1.41905,742373.4623
30.08.2010 06:00:00.000 GMT+0900,1.4141,1.43325,1.3997,1.40665,724131.5472
06.09.2010 06:00:00.000 GMT+0900,1.40742,1.40935,1.3678,1.3679,689658.6707
13.09.2010 06:00:00.000 GMT+0900,1.36695,1.4009,1.36575,1.3942,795265.91
20.09.2010 06:00:00.000 GMT+0900,1.39201,1.41,1.37735,1.40595,820555.7909
27.09.2010 06:00:00.000 GMT+0900,1.4013,1.419,1.39745,1.418,927476.3036
04.10.2010 06:00:00.000 GMT+0900,1.41828,1.43725,1.4096,1.4143,876264.7935
11.10.2010 06:00:00.000 GMT+0900,1.41361,1.4195,1.40465,1.41055,929998.7416
18.10.2010 06:00:00.000 GMT+0900,1.40885,1.4271,1.40475,1.41965,1056105.2596
25.10.2010 06:00:00.000 GMT+0900,1.41503,1.42704,1.40433,1.41685,630705.3029
01.11.2010 06:00:00.000 GMT+0900,1.4165,1.41969,1.37933,1.38014,471194.5988
08.11.2010 07:00:00.000 GMT+0900,1.38388,1.39023,1.36443,1.38975,493991.1997
15.11.2010 07:00:00.000 GMT+0900,1.38542,1.39342,1.37202,1.3854,332093.0991
22.11.2010 07:00:00.000 GMT+0900,1.38891,1.38984,1.35594,1.37207,323910.1001
29.11.2010 07:00:00.000 GMT+0900,1.37096,1.37602,1.34853,1.35001,841974.9029
06.12.2010 07:00:00.000 GMT+0900,1.35057,1.35519,1.33845,1.34168,958604.995399999
